apiKeyId,provider,model,promptTokens,completionTokens,costUsd,costEstimated,latencyMs,cacheHit,cacheKind,status,createdAt
key-1,local,local-small,31,48,0.00002230,f,272,f,,success,2026-08-24 18:01:57.857
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:57.895
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:58.029
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:58.096
key-1,local,local-small,31,48,0.00002230,f,119,f,,success,2026-08-24 18:01:58.101
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:58.295
key-1,local,local-small,32,49,0.00002280,f,121,f,,success,2026-08-24 18:01:58.303
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:58.364
key-1,local,local-small,30,47,0.00002180,f,122,f,,success,2026-08-24 18:01:58.374
key-1,local,local-small,31,48,0.00002230,f,125,f,,success,2026-08-24 18:01:58.591
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:58.63
key-1,local,local-small,29,46,0.00002130,f,121,f,,success,2026-08-24 18:01:58.639
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:58.697
key-1,local,local-small,30,47,0.00002180,f,121,f,,success,2026-08-24 18:01:58.702
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:58.964
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:59.033
key-1,local,local-small,32,49,0.00002280,f,263,f,,success,2026-08-24 18:01:59.047
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:59.1
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:59.165
key-1,local,local-small,33,50,0.00002330,f,248,f,,success,2026-08-24 18:01:59.171
key-1,local-backup,local-small,30,47,0.00002180,f,407,f,,success,2026-08-24 18:01:59.257
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:59.297
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:59.364
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:59.43
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:59.496
